merchant_id,order_id,product_category,product_price,weight_kg,return_reason,days_since_purchase,distance_km,customer_return_count_90d,order_value_ratio,fraud_score,inspection_status,previous_refurb_count,disposition
m_6,42af69c5-3538-40b9-9a2d-d0346a326a96,home,29.74,0.758,defective,3,23.31,1,1.84,0.122,ok,0,recycle
m_13,89eb2eee-ade8-43ef-948a-2fc0072db587,accessory,20.4,0.686,not_as_described,8,17.87,3,0.52,0.221,not_inspected,1,donate
m_11,3b47238d-7135-4b67-9970-ce9a7b04d0f4,home,30.18,0.094,late_delivery,13,22.22,0,1.9,0.133,not_inspected,0,recycle
m_11,5529a408-aac9-4f53-83b9-c21efde462d2,electronics,344.04,0.543,not_as_described,14,76.17,0,1.04,0.02,ok,0,resell
m_19,5471e967-da07-4287-a59a-9ea3293d51ce,book,78.3,2.241,size_issue,11,89.93,1,1.01,0.029,not_inspected,0,resell
m_13,043ff2da-9592-4ce3-973a-f5f124a50c23,home,275.96,0.01,not_as_described,2,37.56,0,1.73,0.036,ok,0,refurbish
m_8,5e5dc860-99c9-4aff-bcd8-2640ebcafa44,book,80.21,0.192,not_as_described,0,51.37,0,1.46,0.152,not_inspected,0,resell
m_19,a68d6cf5-1aa2-4a6b-ae95-3eb68b200693,accessory,34.36,1.041,late_delivery,4,26.85,0,0.73,0.013,not_inspected,0,resell
m_8,44c7367a-5921-496b-bfc3-df571e466875,book,241.17,1.113,late_delivery,3,28.08,1,0.67,0.005,not_inspected,0,resell
m_2,0286e05b-23ff-4ffe-8d29-7b187e743ee1,clothing,28.54,0.676,late_delivery,4,11.15,0,1.1,0.091,not_inspected,0,donate
m_14,6cb0f2b8-783b-4545-ab3a-badb5a19e4c5,electronics,344.11,1.939,not_as_described,13,20.55,0,1.46,0.001,ok,0,refurbish
m_20,084af4ac-9021-4a53-9f74-e02a26480354,accessory,35.5,1.545,defective,5,45.45,2,0.6,0.006,not_inspected,0,recycle
m_18,ff671135-51b3-4f58-a803-5beba4cfb534,book,36.14,1.04,late_delivery,0,78.56,1,1.71,0.017,not_inspected,0,resell
m_18,9df9b9c6-f593-4c1a-b5cc-b19e4b432a9a,electronics,325.5,1.047,defective,3,29.92,2,1.63,0.094,ok,0,refurbish
m_14,9711d60f-45e0-491e-b29d-4dcb5a848527,home,37.86,1.08,size_issue,15,59.72,1,1.45,0.054,not_inspected,0,recycle
m_9,60421d3f-33aa-4120-8b64-aeba6f656b45,clothing,84.51,0.951,changed_mind,0,29.03,0,1.16,0.211,not_inspected,0,recycle
m_4,cc28f39c-d657-4963-abf8-4bc0b22bd3b0,accessory,30.71,0.797,not_as_described,0,37.0,1,0.62,0.006,not_inspected,0,recycle
m_5,447e249f-3183-40d0-81b5-74c713c46c25,home,34.3,1.244,late_delivery,0,59.33,0,1.86,0.005,ok,0,resell
m_17,32bb39fd-e3f0-4532-a190-523ecec219f9,home,132.93,1.008,not_as_described,6,46.74,0,1.8,0.017,not_inspected,1,recycle
m_1,bdaad71a-9e43-4c9b-a4fd-dca9823a2063,electronics,386.4,1.005,late_delivery,0,64.21,0,1.44,0.11,not_inspected,0,resell
m_10,ec9240ae-8d47-447c-84c9-bf0f0bfae653,electronics,1529.75,0.677,size_issue,2,45.27,0,1.38,0.009,damaged,0,refurbish
m_19,7c0f6123-7555-4fa4-956a-c7b55b0e1642,clothing,14.31,0.845,defective,11,23.05,2,1.59,0.075,not_inspected,0,recycle
m_3,64c37249-dd71-43b9-aecc-0caf24807be0,electronics,754.16,0.812,defective,30,58.86,0,1.95,0.249,ok,0,refurbish
m_16,a7c3587b-68d2-4589-b668-cdc8f004bdd5,accessory,50.6,0.678,not_as_described,14,50.16,1,1.77,0.022,not_inspected,1,resell
m_20,503f405f-cf08-4fc3-a1e0-503c214c1a93,accessory,114.7,1.317,not_as_described,3,59.97,0,1.66,0.085,not_inspected,0,recycle
m_7,8634fc55-a55e-4f95-a17f-697275cb7707,book,26.73,0.592,not_as_described,0,69.36,0,0.82,0.023,damaged,0,recycle
m_12,1c84d82e-d07a-444c-8776-fa34682b4bda,home,45.21,0.987,changed_mind,5,35.4,0,1.79,0.175,missing_parts,0,returnless
m_8,011648ff-1fa9-4dea-9e8f-6b58bc3b8254,book,54.36,0.861,late_delivery,2,10.87,0,0.69,0.008,not_inspected,0,resell
m_19,57fe2794-819a-4b78-a663-40817bc4e699,clothing,38.1,0.276,defective,15,111.65,0,0.79,0.003,not_inspected,0,recycle
m_1,d819fcbc-bd8a-4978-8cda-cfc84ca338ca,accessory,20.01,0.623,not_as_described,3,108.94,0,1.7,0.09,not_inspected,0,donate
m_2,d46691dc-18b4-42dc-a8a6-639afe6a0053,electronics,305.32,0.912,defective,11,27.91,0,1.06,0.048,not_inspected,0,refurbish
m_9,7cbb3680-8f07-42f8-8186-d71bd440cac6,home,99.09,0.305,defective,15,142.37,0,1.17,0.048,not_inspected,0,recycle
m_19,9ffd3a27-d47d-4aa8-b9c0-df830a9bd645,book,34.72,0.267,not_as_described,0,56.55,0,1.68,0.045,not_inspected,0,resell
m_16,3ec6e91d-afb4-4769-917d-5543fd572388,accessory,40.11,1.333,changed_mind,0,23.73,0,1.36,0.062,not_inspected,0,returnless
m_14,ee48484c-b4cb-483c-8e7b-6683c96542c6,book,34.62,0.505,not_as_described,1,25.14,1,1.29,0.055,not_inspected,0,resell
m_2,341fd2b2-7924-47d4-b877-211dce94e763,home,36.46,1.002,changed_mind,1,65.85,0,1.36,0.025,not_inspected,0,returnless
m_11,4b6dea77-fbef-4a05-b63d-47bb813adb6e,electronics,401.75,0.01,defective,1,57.79,0,1.37,0.018,not_inspected,0,refurbish
m_18,a7d4bbbf-4466-429c-a3d4-82dde2c0f0f2,electronics,180.86,0.846,not_as_described,0,31.94,0,1.64,0.065,not_inspected,0,refurbish
m_9,67415625-e6fb-4e44-84ce-893be6dfa7ee,book,61.49,0.736,not_as_described,1,52.6,0,1.76,0.012,not_inspected,0,resell
m_3,64d876de-f15d-49cf-8cc6-d6b3c82939f6,book,71.96,0.532,not_as_described,7,16.24,1,1.72,0.044,damaged,0,recycle
m_18,f11dd686-ab32-4362-a1c0-f92c159130fd,book,55.31,1.371,late_delivery,1,42.82,0,1.86,0.07,not_inspected,0,resell
m_8,6ec1559c-cd4a-4607-8145-c545eb8bc442,electronics,179.04,0.84,defective,11,68.98,1,0.73,0.015,damaged,0,refurbish
m_7,6de94c92-c284-41e2-9eec-a3460676568c,clothing,157.09,0.861,changed_mind,14,81.13,0,1.77,0.012,not_inspected,0,refurbish
m_1,f17aab91-9736-44ab-abaa-da7a5966a200,book,92.75,0.331,defective,8,91.58,0,0.88,0.025,not_inspected,0,recycle
m_15,61bc2fea-c8f6-4a36-8408-4d8a5a18378d,book,29.27,0.01,size_issue,20,58.4,0,1.42,0.001,damaged,0,recycle
m_18,130d27da-9b46-4057-9dda-f14d854c8aaa,home,76.46,0.79,changed_mind,8,57.51,0,1.14,0.184,ok,0,resell
m_7,221d60bc-9944-4f89-9b31-55ca25ce1f51,book,56.77,1.138,not_as_described,6,32.36,0,1.7,0.0,not_inspected,0,resell
m_2,5235c824-983b-40f7-a9b8-13760eb787fa,electronics,281.21,1.251,late_delivery,2,39.93,0,1.18,0.006,ok,0,resell
m_16,b674f00b-463a-4b97-9067-6ef8ec4ceb67,home,116.32,0.01,defective,7,41.93,0,2.0,0.092,not_inspected,0,recycle
m_17,d6b6d96a-5ab6-4337-8847-a05d39a29019,accessory,62.72,0.642,late_delivery,1,127.1,0,1.66,0.079,not_inspected,0,resell
m_3,bdd4f6f3-60b8-449e-bb75-12b40be11a46,electronics,259.85,0.851,not_as_described,13,45.5,0,1.47,0.011,not_inspected,0,refurbish
m_19,a2598cd6-0014-43e9-bd52-855935b2833a,clothing,90.48,0.248,changed_mind,0,52.96,0,1.48,0.023,not_inspected,0,resell
m_20,aea4e50a-9bdf-440b-a00d-4486c51f05f0,clothing,25.62,0.946,late_delivery,2,0.09,1,1.01,0.014,not_inspected,0,donate
m_19,abc4f852-ae7d-487a-b3f0-c762bca29290,electronics,134.79,1.702,changed_mind,5,2.6,1,0.71,0.229,ok,0,resell
m_7,807080ee-4e3a-4619-a9e3-e1a6f3435f3e,accessory,246.82,0.969,size_issue,2,55.13,1,0.76,0.083,damaged,0,refurbish
m_5,c9f4c283-04ca-47fc-8f50-93aea116612c,home,39.31,0.911,not_as_described,0,57.68,0,1.5,0.01,not_inspected,0,resell
m_3,c8f8df2a-29a0-4e31-979f-8a44c55ce16b,home,42.79,0.779,changed_mind,6,31.65,0,1.03,0.192,not_inspected,0,returnless
m_19,8b53f2c4-b7b7-4b2b-8350-ae8cad37e25e,electronics,466.53,1.074,changed_mind,9,68.23,0,1.24,0.143,ok,0,refurbish
m_17,a4a33c43-448d-4b25-9e58-0a8fc48d2ec7,electronics,322.31,1.708,defective,8,3.26,1,1.54,0.029,not_inspected,0,refurbish
m_3,641f5f7e-940f-45ce-a767-710d3334aa8e,home,51.83,0.948,not_as_described,1,81.94,0,1.71,0.096,damaged,0,recycle
m_15,429f5e5e-eedd-46f2-bec3-bafdb869b875,clothing,18.75,0.677,size_issue,30,62.89,0,1.35,0.105,not_inspected,1,resell
m_17,c585b3e0-768c-4e05-8aa4-d03b4ae9fbb3,accessory,55.69,0.712,size_issue,2,7.85,0,0.62,0.096,ok,0,resell
m_4,4f50dcd0-a2d9-49dd-9609-ef6cc77eb507,electronics,909.49,1.079,late_delivery,2,76.03,0,0.85,0.001,not_inspected,0,refurbish
m_4,8b6bea31-aa35-4f42-86d1-4abc4c855f63,clothing,38.01,1.264,size_issue,4,77.59,2,1.13,0.115,not_inspected,0,resell
m_20,ae26383b-ae3b-429d-aeea-784266b39c93,accessory,27.03,0.393,not_as_described,0,8.01,0,0.83,0.386,not_inspected,0,donate
m_9,149364b7-ba93-482d-9614-458f6358faa1,clothing,275.01,0.434,size_issue,1,54.99,0,1.27,0.017,not_inspected,0,donate
m_2,9ba6a07c-c6e1-4495-a2c4-8a79bc777ed1,accessory,38.58,0.633,changed_mind,24,92.62,0,0.73,0.194,not_inspected,0,returnless
m_2,ca3441f6-983d-4c59-a303-5b06ca37f37c,electronics,975.8,1.718,changed_mind,0,39.12,0,1.83,0.252,ok,0,refurbish
m_9,3d6201dd-aa63-4fda-b5d3-b45072ba54c0,electronics,291.82,0.681,size_issue,3,76.52,0,0.62,0.028,ok,0,refurbish
m_14,0be5c5e6-df0c-41d8-a705-08b264472e28,clothing,320.17,0.488,changed_mind,12,89.72,0,0.9,0.283,not_inspected,0,refurbish
m_5,f666fb5f-a380-43a5-bc3f-175bddd35e49,accessory,72.53,0.986,defective,12,82.0,0,1.63,0.009,not_inspected,0,recycle
m_19,8ea5ad2d-a28d-4cf8-a7fb-a20ecfc711e0,accessory,48.57,0.759,defective,2,29.31,1,1.26,0.0,ok,1,recycle
m_2,d58bd13d-4f85-42b0-86e5-c23dfc75c5e0,accessory,92.51,0.16,not_as_described,5,40.77,1,1.94,0.032,not_inspected,0,recycle
m_2,36ac17ed-1de5-4354-99e2-37cfc839be77,home,39.94,0.778,size_issue,2,39.11,0,1.02,0.085,damaged,1,recycle
m_4,999e9aa2-b02e-4d9b-9e21-d46146086e1f,home,36.92,0.851,not_as_described,9,46.07,1,1.17,0.057,ok,0,resell
m_14,1500760a-5b0e-4131-9887-805b27594af9,home,85.97,1.095,late_delivery,1,57.31,0,0.91,0.06,damaged,0,recycle
m_8,682ac63a-2222-4c07-9349-ffe381a70fd4,accessory,18.77,0.423,not_as_described,28,76.94,0,0.82,0.002,damaged,0,recycle
m_1,5983ef46-45be-4a55-b0a1-391e14b2cde6,clothing,77.78,0.688,not_as_described,1,60.28,1,1.64,0.079,damaged,0,recycle
m_14,7adbc78f-5f4d-4b8a-8ff9-cd5ef73d646f,clothing,130.9,0.897,size_issue,4,29.71,0,1.24,0.002,ok,0,resell
m_4,2b8bccaa-6a1c-41f6-85af-e2251a436b24,clothing,44.98,0.69,size_issue,0,36.43,0,0.94,0.262,not_inspected,0,resell
m_8,c5eaef5e-9323-4c5c-9b4a-bdbf7144c4a4,book,45.41,0.539,defective,30,49.89,0,1.55,0.05,damaged,0,recycle
m_8,9b231e41-bf8f-46c3-a511-1b7505576470,clothing,27.08,0.588,changed_mind,5,79.67,0,0.75,0.006,not_inspected,0,returnless
m_13,25f98e75-d351-4e9f-92cd-fa3ead93b6df,clothing,194.1,0.843,defective,14,76.86,0,1.72,0.004,ok,0,refurbish
m_9,4f23fdc5-3778-4bd3-9116-997712a83990,home,233.38,0.424,size_issue,5,38.91,0,0.87,0.012,damaged,1,refurbish
m_18,26b646ea-ce99-4b01-b3e0-11039797cf5b,home,78.73,0.471,late_delivery,7,138.95,0,0.84,0.47,not_inspected,0,recycle
m_9,0500f073-62b7-4057-afcc-837c227097c9,home,45.6,0.033,defective,14,77.99,0,1.02,0.029,not_inspected,0,recycle
m_9,56c8b186-4bc6-46e0-adaa-d09d4c7f4220,clothing,18.3,1.501,late_delivery,9,82.36,1,0.92,0.083,missing_parts,0,donate
m_12,57a76de9-98bf-47d9-817d-499f74f33229,electronics,865.89,1.311,defective,0,64.82,0,0.86,0.172,not_inspected,0,refurbish
m_17,2a495ca3-67fd-4a8f-b83a-c8247af45262,home,93.71,0.01,changed_mind,3,15.33,0,1.95,0.021,ok,0,resell
m_7,8143633e-7e50-410a-9328-7f04dc4b85cb,electronics,319.63,1.191,changed_mind,1,12.85,1,0.87,0.081,damaged,0,refurbish
m_1,133ec593-7703-4227-aae7-bd9b0cd14f19,home,43.59,1.531,defective,13,60.88,1,0.67,0.045,ok,0,recycle
m_7,24c2ae30-c157-4d30-992e-b1a0b90c2943,accessory,91.18,0.668,late_delivery,2,32.34,0,1.98,0.285,ok,0,resell
m_11,8d426960-52fb-41ba-ac79-69945fab25eb,home,235.54,0.644,changed_mind,1,21.85,0,1.95,0.005,not_inspected,0,refurbish
m_4,38637da9-1f46-43a2-9bd3-0fa0812c43a8,accessory,80.08,0.333,size_issue,12,54.51,0,1.43,0.176,ok,0,recycle
m_14,0fdb5e74-990f-4c00-9f3b-d1ce687c1768,home,25.7,0.967,late_delivery,7,99.0,0,1.49,0.45,not_inspected,0,donate
m_18,2e8438cf-a48e-4d20-b4d2-79bdc77e809b,home,168.95,0.881,changed_mind,14,0.54,0,1.71,0.185,ok,0,refurbish
m_13,61d68538-ff49-453e-b4ce-82819ad438ce,clothing,59.4,0.289,not_as_described,0,17.11,0,1.54,0.071,not_inspected,0,resell
m_13,dc0f08f8-7a20-4900-bd0f-323378f736f0,clothing,61.48,0.42,late_delivery,7,29.36,0,1.8,0.033,not_inspected,0,resell
m_7,ab18cf58-2d43-40ae-8a08-d5efeaf85b96,accessory,150.17,0.01,defective,5,91.53,1,1.93,0.001,not_inspected,0,refurbish
m_11,300a9eba-1b32-4540-8acf-c8e4942f12f5,book,45.75,0.857,late_delivery,18,27.38,0,0.89,0.03,ok,0,resell
m_7,00860145-32de-4eb5-ad03-5570608b0b2a,book,103.84,0.072,changed_mind,8,31.9,0,0.77,0.185,not_inspected,0,resell
m_6,4d917d75-4309-412f-899d-f72491b856f5,accessory,61.09,0.325,changed_mind,2,49.41,1,0.57,0.078,ok,0,recycle
m_20,db7b6db2-c80b-44c7-a1a9-c3369ab5e0e5,electronics,202.07,0.735,size_issue,6,84.48,1,0.86,0.159,not_inspected,0,resell
m_8,9eec29d5-6683-4b66-972b-7a8b38f9cc5c,home,64.56,0.387,defective,4,14.37,0,1.79,0.001,ok,0,recycle
m_5,fa603054-8e24-4711-88fd-8cd5ef3bfeed,home,36.96,0.152,not_as_described,6,59.43,0,1.54,0.044,ok,0,recycle
m_16,2651f70e-24d0-43c2-98ef-e80c8f9501cf,electronics,491.91,1.651,defective,2,16.98,0,0.6,0.084,not_inspected,0,refurbish
m_19,e1d2b9ce-d4ea-4648-9be7-ba3fea235d86,accessory,112.36,0.743,defective,7,9.81,0,1.5,0.402,not_inspected,0,recycle
m_8,d8a5d88d-e1bb-43d1-98b3-d2b08134633d,clothing,33.33,0.678,changed_mind,5,20.28,0,0.65,0.042,not_inspected,0,returnless
m_4,6dc85700-9a7d-4dc8-bcc7-b492a92086e0,clothing,37.57,0.137,defective,1,86.39,0,1.44,0.006,damaged,0,recycle
m_17,649054c0-c0ce-451c-a12b-b1ba599fa2de,book,89.63,1.083,not_as_described,0,17.88,0,0.63,0.333,not_inspected,0,resell
m_4,02d73686-f9d9-4b84-8ad8-931fe76ad620,book,246.91,0.247,defective,5,49.82,2,1.9,0.007,not_inspected,0,refurbish
m_17,5ca32567-836c-419b-89b4-c8c123c0a335,book,65.84,0.829,not_as_described,10,34.79,0,0.76,0.121,ok,0,resell
m_15,dbb057f5-8cc8-48be-8bd3-7dfc4384c0b6,accessory,46.64,0.779,late_delivery,13,49.25,0,1.65,0.011,not_inspected,0,resell
m_18,a4905f80-9c64-423d-b4dd-15cd1d06e3b8,accessory,77.9,0.722,late_delivery,3,51.93,0,0.66,0.192,not_inspected,0,resell
m_16,49f05e69-85f6-4f30-be4e-d23e18796f35,book,33.71,0.675,not_as_described,36,54.46,1,0.71,0.01,ok,0,resell
m_9,21235bce-6b02-4693-b6e4-a832be36e975,book,55.2,0.409,size_issue,39,63.11,0,1.44,0.046,ok,0,resell
m_9,29910d36-3aee-4460-aec6-bae2093498e1,accessory,20.97,0.61,changed_mind,3,86.23,0,1.65,0.001,ok,0,returnless
m_8,632bd7fb-d354-44c0-8f9d-49e15441017c,book,99.9,0.381,defective,1,5.63,0,0.86,0.325,ok,0,recycle
m_18,48999da5-3862-43dc-9c5d-2c789b42d729,home,59.37,0.311,size_issue,4,14.21,0,1.61,0.058,not_inspected,0,recycle
m_13,e9c48c5c-461f-4df7-9683-12a54176555c,electronics,206.78,1.416,not_as_described,8,2.03,1,1.85,0.062,not_inspected,0,resell
m_14,6fd1db7e-8835-4a85-8906-608ed5751ee7,clothing,34.87,0.767,not_as_described,5,63.8,0,1.52,0.003,not_inspected,0,resell
m_2,9ef174d3-49a0-43ef-ab35-db52c302f3af,home,31.13,1.22,late_delivery,2,86.01,0,0.78,0.125,not_inspected,0,resell
m_19,222b1fe0-30e8-48d3-b7a2-4e6e04c76ff4,clothing,83.51,1.224,changed_mind,3,40.32,0,1.66,0.104,not_inspected,1,resell
m_1,4cf75315-4666-40ac-8366-a971467e76ce,electronics,343.75,1.107,late_delivery,6,72.37,0,0.69,0.028,not_inspected,0,refurbish
m_14,479773e6-0a53-44ab-8ca5-fd1ea6cc5c34,home,230.29,0.259,size_issue,20,35.49,0,1.83,0.108,ok,0,refurbish
m_8,347ceccd-5941-4204-b80c-2ab5fcc25c8b,accessory,98.13,0.375,late_delivery,4,64.73,1,0.77,0.056,ok,0,resell
m_16,b810e050-5015-4f99-80b1-78b4177b56f6,book,72.22,0.439,not_as_described,11,50.91,1,1.31,0.139,not_inspected,0,resell
m_13,dd1fed1a-b008-4022-81a9-cb099817398e,electronics,559.67,1.152,changed_mind,7,31.33,0,0.51,0.019,not_inspected,0,refurbish
m_20,30034000-daa7-404b-923d-2da51a18f91b,clothing,36.37,0.935,changed_mind,5,71.6,0,1.03,0.096,damaged,0,recycle
m_19,06903c67-d1ab-4f31-80e1-3f64f126760f,accessory,19.79,0.257,defective,1,71.67,1,1.17,0.137,damaged,0,recycle
m_14,41e77989-50b5-4db7-a945-3364670623e5,accessory,177.11,0.4,defective,0,4.23,1,1.38,0.039,not_inspected,0,refurbish
m_9,bb93aa7f-653d-4158-8a2b-7fc10f24b90c,clothing,200.92,1.455,changed_mind,6,80.72,0,1.74,0.05,not_inspected,0,refurbish
m_11,5ca1638b-591a-49f4-bcb7-aa041b815836,book,88.9,1.082,size_issue,10,33.21,0,0.99,0.038,not_inspected,0,resell
m_14,ef1e1845-b29f-458b-a1d5-9e8c2295ef9a,home,62.36,0.931,changed_mind,3,86.63,0,1.11,0.149,not_inspected,0,resell
m_18,270820c9-a2f5-4446-9d47-eb3994b782b9,home,20.34,0.23,defective,0,54.23,0,1.91,0.048,not_inspected,0,recycle
m_3,296c503f-8b66-4469-aedc-feac62c71827,electronics,473.2,0.787,size_issue,4,16.66,0,1.59,0.062,not_inspected,0,refurbish
m_7,724375fe-03d5-4c79-a885-f514dba6c303,electronics,164.21,1.121,defective,9,60.6,0,0.59,0.026,damaged,0,refurbish
m_5,60660b8b-6409-4458-9867-3a9bbf7692ee,electronics,183.42,0.631,late_delivery,9,94.78,0,1.23,0.002,not_inspected,0,refurbish
m_7,aec31ebf-ec74-4a63-933e-bb7e0ffeeac3,book,10.0,1.054,defective,2,57.41,0,1.91,0.003,not_inspected,0,recycle
m_6,e70fa108-eb50-481e-a6c8-647925bae0a8,book,25.1,0.927,size_issue,5,63.99,0,1.02,0.009,ok,0,resell
m_4,3c469ce2-6016-4c75-88ba-a66ee1443831,accessory,62.83,1.159,late_delivery,5,41.13,0,1.32,0.005,missing_parts,0,recycle
m_1,64e7e98a-9a8e-4371-8b2d-5e67c2c5f7bb,clothing,74.11,1.062,size_issue,4,103.1,0,0.59,0.092,not_inspected,0,donate
m_13,9e3f109a-2284-4f54-a6ea-33411e4b287d,home,34.74,0.38,late_delivery,1,84.86,0,0.81,0.254,ok,0,resell
m_8,f6547dbc-89e7-4b14-803e-6fe340efe156,book,101.31,0.669,not_as_described,5,20.8,0,1.73,0.04,not_inspected,0,resell
m_20,7edf9e87-6e46-4e86-a179-8f8d2dc9e7dd,electronics,91.69,1.08,size_issue,11,106.2,1,1.87,0.048,damaged,0,recycle
m_12,c75dff30-880e-429a-9ef4-7be1892da5c5,electronics,592.09,0.829,late_delivery,16,39.96,0,1.84,0.113,ok,0,refurbish
m_3,2a7e965e-c2dd-4e34-8fbb-65c2242ffcee,accessory,62.43,0.796,changed_mind,4,47.61,1,1.45,0.012,ok,0,resell
m_14,de614e0b-a25e-4e45-8f40-fe457eea2de7,accessory,125.36,1.736,size_issue,8,25.84,1,1.31,0.097,not_inspected,0,resell
m_12,a4657f80-82b0-4e37-9c54-532ca766ca9b,book,51.22,0.01,defective,12,20.02,0,1.74,0.009,not_inspected,0,recycle
m_17,a2ecb46e-bdf5-4863-9647-4697af549978,book,169.15,0.571,not_as_described,7,4.45,1,1.97,0.063,not_inspected,0,resell
m_18,0881f1dc-59bc-415a-a08b-577b8c58e466,home,39.44,0.78,late_delivery,1,37.94,1,1.46,0.095,ok,0,resell
m_19,9d64b28c-0c05-4a98-ab17-bd349dacdab5,book,112.18,0.173,changed_mind,19,60.52,1,0.89,0.199,not_inspected,0,resell
m_3,eb83f689-198d-43e0-ae55-86c0bd2ca519,home,16.55,0.01,size_issue,13,15.18,1,1.13,0.002,damaged,0,recycle
m_15,6b9788f9-20cd-43e9-b7cb-8110ff748055,home,40.26,1.0,changed_mind,16,72.16,0,1.94,0.102,not_inspected,0,returnless
m_11,6f473e3b-603c-467a-91cb-32a9a72cb02f,accessory,70.61,1.435,late_delivery,0,6.56,0,0.95,0.032,ok,0,recycle
m_6,fc503ddd-6f91-46d0-a0e8-69fff7ee5573,electronics,642.4,1.684,changed_mind,15,72.03,0,1.37,0.51,damaged,0,refurbish
m_9,14359f9b-e7b8-43e7-9f48-b5dee9f5d7f9,book,69.64,1.165,not_as_described,0,79.26,1,1.28,0.041,not_inspected,0,resell
m_9,2394ae8c-060a-4638-b41a-0891caaeab5e,home,101.5,0.792,size_issue,4,98.37,0,1.55,0.014,damaged,0,recycle
m_7,1c96d6c7-78c4-4ef4-8710-f97949fda3ca,accessory,249.55,0.63,defective,21,94.37,0,1.45,0.004,not_inspected,0,refurbish
m_16,44d0bc0f-968f-4ddc-838e-641c52581ab4,electronics,283.12,0.173,not_as_described,1,4.86,0,1.27,0.0,ok,0,refurbish
m_16,890c3886-9d09-420c-a97f-4acf66265e13,accessory,116.65,0.469,not_as_described,5,6.26,1,0.63,0.085,ok,0,recycle
m_8,80218f39-ab03-4063-8444-d1e094a37c62,book,206.61,0.676,defective,34,38.03,0,1.13,0.057,not_inspected,0,refurbish
m_19,92b3e6f5-f10b-4808-8314-08a958d0ea3d,book,104.05,0.483,not_as_described,21,35.51,0,0.59,0.081,not_inspected,0,resell
m_12,4b5ca027-4526-4675-b6d8-e78971c46f55,home,12.11,0.412,changed_mind,0,95.64,0,0.62,0.044,not_inspected,0,returnless
m_15,9e18bda8-e97d-47ff-8daf-567a63b87cc3,book,124.38,0.01,late_delivery,0,71.25,0,1.81,0.113,not_inspected,0,resell
m_4,58f3312c-1dd1-4ce8-b8db-dfd28dfef2c6,home,24.52,0.743,size_issue,0,0.91,0,1.37,0.003,not_inspected,0,donate
m_18,627e4580-857b-428c-b72d-0931afba98fb,clothing,99.37,1.215,size_issue,13,30.61,0,0.91,0.017,not_inspected,0,donate
m_16,f970b6ce-e923-46a6-9dd5-6df61350fa86,clothing,15.28,0.423,not_as_described,6,89.13,0,1.53,0.074,not_inspected,0,donate
m_17,c22c30cc-c0ea-4863-9f31-ed8b57c2407a,home,44.01,1.012,late_delivery,1,51.49,0,1.01,0.005,missing_parts,0,recycle
m_7,641b3b08-0ca3-44bc-a33c-306a20ab6929,accessory,23.01,0.463,size_issue,30,106.74,0,1.23,0.002,missing_parts,0,donate
